Chrom	Gene Name	Strand	Positions
chr1	RNA5S14	-	[228612404, 228614641, 228616894, 228619137, 228621356, 228623559, 228625798, 228628035, 228630301, 228632521, 228634782, 228636986, 228639250, 228644753, 228644899, 228645950]
chr1	RNA5S17	-	[228612404, 228614641, 228616894, 228619137, 228621356, 228623559, 228625798, 228628035, 228630301, 228632521, 228634782, 228636986, 228639250, 228644753, 228644899, 228645950]
chr1	TMEM269	+	[42794458, 42797956, 42800817]
chr1	LIN28A	+	[26429533, 26429720]
chr1	HMCN1	+	[185993436, 186190948]
chr1	HPDL	+	[45328443, 45328624]
chr1	SLC35D1	-	[66999332, 66999442, 67000414, 67036790]
chr1	RPS6KA1	+	[26574762, 26574940]
chr1	KCNH1	-	[210678314, 210678429, 210678581, 210763819, 210801600, 210849326, 210849441, 210849565, 211031663, 211108445]
chr1	HLX	+	[220884784, 220884987]
chr1	SFT2D2	+	[168238441, 168240093, 168242761]
chr1	UTP25	+	[209849673, 209851694, 209851871, 209851994, 209852217, 209857564]
chr1	MINDY1	-	[150996835, 151000140, 151003750, 151006653, 151006775, 151007835, 151008101]
chr1	SERBP1	-	[67407810, 67408114, 67408269, 67408461, 67409371, 67410436, 67410858, 67411020, 67411528, 67411834, 67411948, 67412078, 67412271, 67412867, 67413242, 67415166, 67416081, 67417602, 67420017, 67423747, 67424262, 67424559, 67424889, 67425405, 67430053, 67430260]
chr1	LOC101928718	-	[111746709, 111747776, 111753775]
chr1	GBA	-	[155234527, 155234659, 155234995, 155241875, 155244083]
chr1	DCST1	+	[155035194, 155041914, 155045191, 155049171, 155050929]
chr1	LOC729867	-	[160206991]
chr1	SESN2	+	[28281359, 28281462, 28282414]
chr1	C1orf54	+	[150280688, 150280915]
chr1	GOLPH3L	-	[150646225, 150646376, 150647193, 150647858, 150647993, 150666460, 150669525]
chr1	NPHP4	-	[5862811, 5862958, 5923015]
chr1	CTH	+	[70439394, 70439569]
chr1	EXOSC10	-	[11066618, 11068035, 11070441, 11072751, 11073955, 11077061, 11080701, 11082057, 11082729, 11083633, 11083759, 11084025, 11084751, 11084931, 11085378, 11086595, 11090502]
chr1	GDAP2	-	[117863485, 117868893, 117869417, 117870256, 117877222, 117901775, 117911027]
chr1	ARF1	+	[228086428, 228093414, 228093515, 228098165, 228098341, 228099100, 228099211]
chr1	CKS1B	+	[154978928, 154979154]
chr1	DNALI1	+	[37566816]
chr1	BCAR3	-	[93561786, 93561904, 93564387, 93578873, 93580765, 93585544, 93585748, 93586226, 93592824, 93594032, 93594769, 93594880, 93599264, 93599739, 93600315, 93602186, 93602562, 93602755, 93603033, 93603692, 93604555, 93610488, 93615067, 93615364, 93615769, 93617475, 93617679, 93618997, 93619844, 93619964, 93620255, 93622006, 93639558, 93646642, 93656697, 93658045, 93659216, 93659430, 93665815, 93667526, 93668798, 93669255, 93669647, 93669762, 93671140, 93672757, 93683830, 93701916, 93704894, 93707218, 93712482, 93715855, 93720052, 93722704, 93727498, 93730302, 93730425, 93732001, 93734946, 93736596, 93744086, 93744501, 93752924, 93778630, 93780073, 93797042, 93797862, 93799671, 93799877, 93803789, 93806606, 93806935, 93807785, 93809540, 93810221, 93826346, 93826640, 93827824, 93828079, 93828470, 93829595, 93829933, 93831929, 93832805, 93833989, 93834145]
chr1	LOC645166	-	[143739967, 143877731, 143896591, 143902387, 143916199, 143924965, 143933767, 143955364, 143959874, 144020024, 144022055, 144033136, 144052567, 144071472, 144073124, 144082914, 144227030, 144300589, 144336228, 144421390, 144421495, 144440741, 144440895, 144442531, 144445595, 144445941, 144446073, 144449508, 144459601, 144460129, 144480804, 144523819, 144534696, 144595188, 144609343, 144609584, 144612737, 144614389, 144616082]
chr1	ERICH3	-	[74568111, 74589327, 74626097, 74646024, 74648189, 74671021, 74672840]
chr1	ARTN	+	[43937162]
chr1	SZT2	+	[43391969, 43406893, 43447776, 43451067, 43451175, 43451282, 43451428, 43452632, 43453309, 43454149]
chr1	ILDR2	-	[166913206, 166914392]
chr1	PIK3CD-AS2	-	[9674693, 9674841]
chr1	PIK3CD-AS1	-	[9652610]
chr1	TCEA3	-	[23381061, 23381364, 23383433, 23404998, 23410063, 23411520, 23411682, 23419991, 23420196, 23420334]
chr1	AKNAD1	-	[108815898, 108823057]
chr1	NOL9	-	[6521347, 6525667, 6532229]
chr1	ABCD3	+	[94478649, 94518351, 94518587]
chr1	TDRKH-AS1	+	[151794401]
chr1	PEX19	-	[160276867, 160276976, 160277111, 160278193, 160278483, 160279603, 160280589]
chr1	FAM20B	+	[179030257, 179044691, 179044822, 179045429, 179045577, 179055715, 179065049, 179068601, 179068730, 179070581, 179071225, 179071370, 179073274, 179075534, 179075719, 179076289, 179076441, 179076560]
chr1	RLF	+	[40166902, 40183634, 40185755, 40193048, 40219062, 40219303, 40222897, 40229502, 40236386, 40238399, 40239436, 40240597, 40240840]
chr1	GNG12-AS1	+	[67862752, 67871926, 67872063, 67873558, 67873693, 67874014, 67874149, 67875057, 67876179, 67876528, 67876776, 67877039, 67877198, 67877662, 67877767, 67878032, 67878872, 67880900, 67881758, 67883284, 67883422, 67885630, 67885772, 67889937, 67890581, 67890825, 67895745, 67895946, 67930138, 68045896, 68046048, 68094450, 68098473, 68098669, 68099295, 68119090, 68125358, 68125492, 68125819, 68153606, 68153845, 68167358, 68170071, 68170191, 68193858]
chr1	UBXN10-AS1	-	[20184275]
chr1	ATP1A4	+	[160185083, 160185585, 160186606, 160186976]
chr1	SLC35E2A	-	[1724838]
chr1	ATP1A1	+	[116373488, 116392426, 116393942, 116398999, 116400220, 116404677]
chr1	HSD52	-	[59131936]
chr1	CDC42	+	[22060383, 22062666, 22063074, 22078082, 22090582, 22090803, 22091548, 22092285, 22092413, 22092830]
chr1	DPT	-	[168695459]
chr1	IPO13	+	[43967752, 43967889, 43968021]
chr1	HMGB4	+	[33863462, 33864790]
chr1	RBMXL1	-	[88979456, 88979567, 88982649, 88992055]
chr1	PEX10	-	[2404802, 2405443]
chr1	DPYD	-	[97077743, 97077865, 97144422, 97168930, 97187384, 97201130, 97212185, 97238441, 97241250, 97261676, 97262412, 97262787, 97263500, 97267715, 97268885, 97269202, 97269543, 97280270, 97322954, 97439873, 97546390, 97640402, 97657032, 97671694, 97671996, 97719758, 97719866, 97731306, 97731474, 97792353, 97849578, 97882343]
chr1	ANGEL2	-	[212992182, 212992461, 212994753]
chr1	ETNK2	-	[204131132]
chr1	ZNF683	-	[26361634]
chr1	MNDA	+	[158849501]
chr1	CDCA8	+	[37695302, 37698952, 37699512, 37700466, 37701611, 37709562, 37709710]
chr1	LINC01672	+	[6730011]
chr1	LINC01677	-	[105927624, 105935332]
chr1	LINC01676	-	[105589694, 105600492, 105602152]
chr1	UTS2	-	[7847614]
chr1	CD48	-	[160678746, 160680421, 160683519, 160692239]
chr1	CA14	+	[150265077]
chr1	TNFAIP8L2-SCNM1	+	[151159748, 151167766, 151169063, 151169987]
chr1	SCCPDH	+	[246767470, 246767833, 246768136]
chr1	ATG4C	+	[62835528, 62863997, 62864200, 62864368, 62865026, 62865155, 62865266]
chr1	FPGT	+	[74205527, 74207065, 74207233, 74208183]
chr1	MROH7-TTC4	+	[54663111, 54679777, 54682012, 54683975, 54684288, 54691205, 54692251, 54692455, 54701227, 54701877, 54710265, 54718955, 54737541, 54742000, 54742233, 54742636]
chr1	IQCC	+	[32208681]
chr1	THAP3	+	[6633564, 6634168, 6634364, 6635585]
chr1	RAB25	+	[156070503]
chr1	CFH	+	[196701564, 196747503]
chr1	RAB29	-	[205767986, 205768098, 205768586, 205769291, 205769509]
chr1	YRDC	-	[37802945, 37803199, 37803457, 37803667, 37805946]
chr1	WDR78	-	[66812885, 66837599, 66847924, 66871246, 66904859]
chr1	WDR77	-	[111439890, 111440079, 111440257, 111440829, 111441012]
chr1	TRIM11	-	[228393747, 228393910, 228395635]
chr1	SYTL1	+	[27353931]
chr1	TRIM17	-	[228408036, 228412545, 228413132]
chr1	AHCTF1	-	[246839098, 246839369, 246839480, 246839630, 246840624, 246850678, 246878023, 246930568, 246930698, 246930928, 246931045]
chr1	LOC102723383	+	[16683366, 16684429, 16684732, 16685109, 16685237, 16685430, 16685946, 16693777, 16705593, 16721380, 16721949, 16722778, 16724472]
chr1	CHI3L2	+	[111243383]
chr1	CHI3L1	-	[203178931]
chr1	PRPF3	+	[150325414, 150325596, 150334929, 150341026, 150351276, 150351393, 150353122]
chr1	MTMR9LP	-	[32231660]
chr1	MR1	+	[181053323, 181055527, 181056474, 181058047, 181059894, 181061867]
chr1	PROX1-AS1	-	[213983793]
chr1	ZFP69	+	[40491155, 40493572, 40496155, 40496264]
chr1	HDGF	-	[156742107, 156742614, 156744257, 156745038]
chr1	DCST1-AS1	-	[155045191, 155049171, 155050929, 155058682, 155059936, 155062720]
chr1	ZMPSTE24	+	[40264813, 40293913, 40294102]
chr1	MRPL37	+	[54216172, 54216343, 54218300, 54225432]
chr1	RGS2	+	[192812180]
chr1	LEFTY2	-	[225936603]
chr1	CYP4B1	+	[46811746, 46812168, 46814305, 46819010, 46819348]
chr1	PEA15	+	[160206991, 160209201, 160209963, 160213279, 160215292]
chr1	FAM69A	-	[92833432, 92834865, 92835249, 92835441, 92835578, 92836313, 92837367, 92837558, 92840639, 92841847, 92842167, 92852773, 92853560, 92853676, 92853852, 92857116, 92860162, 92861145, 92934097, 92940376]
chr1	KIF14	-	[200551500, 200551747, 200552230, 200552399, 200559337, 200566113, 200567788, 200568603, 200569541, 200581222, 200599511, 200600395, 200612094, 200613320, 200618287]
chr1	SYPL2	+	[109469355, 109471559, 109472146, 109472807, 109472963, 109474171, 109474521, 109474989, 109477173, 109482074]
chr1	RFX5	-	[151340640, 151340770, 151340939, 151341052, 151341960, 151342104]
chr1	RHBDL2	-	[38886296, 38915503]
chr1	RABGAP1L	+	[174215351, 174234612, 174246345, 174265459, 174364905, 174366079, 174437448, 174483347, 174545903, 174548560, 174628351, 174738889, 174788260, 174809903, 174819137, 174934947, 174937023, 174945523, 174958024, 174958181, 174964369, 174964529, 174966711, 174967884, 174978707, 174979201, 174979446, 174979842, 174980740, 174983621, 174983881, 174991674, 174995211]
chr1	IBA57	+	[228176239, 228176381, 228182025, 228182256]
chr1	HSD3B1	+	[119515053]
chr1	HSD3B2	+	[119423027]
chr1	ETV3L	-	[157092043]
chr1	DBT	-	[100187014, 100193681, 100194195, 100194421, 100194976, 100195319, 100213785]
chr1	NHLH2	-	[115836377]
chr1	KHDRBS1	+	[32016109, 32019461, 32023671, 32030548, 32031174, 32037376, 32042859, 32043201, 32043443, 32043800, 32052176, 32059073, 32059457, 32060766]
chr1	SERINC2	+	[31412799, 31420794, 31433382, 31434677]
chr1	ZNF593	+	[26170786]
chr1	PINK1	+	[20647144, 20647897, 20649428, 20650592, 20651231, 20651510]
chr1	MED8	-	[43383917, 43384018, 43384726, 43384840, 43384966, 43389154]
chr1	ZNHIT6	-	[85651127, 85652808, 85653063, 85653928, 85657518, 85665595, 85674394, 85707946, 85708065]
chr1	MYCL	-	[39895426, 39895685, 39899097, 39899612, 39899730]
chr1	PIN1P1	+	[69920316]
chr1	MFSD2A	+	[39969965]
chr1	ATXN7L2	+	[109492727]
chr1	PLCH2	+	[2492300, 2505527]
chr1	AXDND1	+	[179545643, 179550539, 179554734]
chr1	CAMTA1	+	[6785550, 6820206, 6825100, 6844299, 6844641, 6845606, 6871823, 6871951, 6888065, 6888200, 6904686, 6919765, 6932002, 6947976, 6948183, 7370269, 7388183, 7693124, 7698308, 7700704, 7767630, 7767740, 7769420, 7769620]
chr1	TRAF3IP3	+	[209779208, 209779623, 209782309]
chr1	IARS2	+	[220094389, 220142097, 220142273, 220144005, 220147758, 220147900, 220148040]
chr1	LOC101927429	-	[144300589, 144336228, 144421390, 144421495, 144440741, 144440895, 144442531, 144445595, 144445941, 144446073, 144449508, 144459601, 144460129, 144480804, 144523819, 144534696, 144595188, 144609343, 144609584, 144612737, 144614389, 144616082]
chr1	ATP5IF1	+	[28236260, 28236379, 28237957, 28238099]
chr1	TARS2	+	[150498007, 150507097, 150507283, 150507485, 150507601]
chr1	SPRR3	+	[153003855]
chr1	SCMH1	-	[41027202, 41027308, 41043889, 41086429, 41091978, 41157018, 41168719, 41172281, 41182472, 41183371, 41225150, 41236685, 41236979, 41237175]
chr1	COL16A1	-	[31652247, 31652500, 31655062, 31679230]
chr1	EPS8L3	-	[109750080, 109756641, 109757432, 109757650]
chr1	GJA4	+	[34795746]
chr1	GJA5	-	[147756199]
chr1	CD164L2	-	[27379176]
chr1	CALML6	+	[1917293]
chr1	SHISA4	+	[201892131, 201892305]
chr1	MEF2D	-	[156463727, 156463862, 156466210, 156485609, 156495267]
chr1	GAS5	-	[173863901, 173864304, 173864489, 173864688, 173865248, 173865399, 173865510, 173867001, 173867531]
chr1	EPHX1	+	[225821065, 225836530, 225836681, 225840010, 225840961, 225841689, 225841930, 225845536]
chr1	ANKRD13C	-	[70260588, 70260736, 70260941, 70261235, 70262247, 70292146, 70305686, 70309110, 70319712, 70320872]
chr1	AMPD2	+	[109631057, 109631606, 109631974]
chr1	AMPD1	-	[114673098]
chr1	AIDA	-	[222668093, 222668241, 222668908, 222669530, 222698526]
chr1	EIF2B3	-	[44850776, 44850959, 44874527, 44885445, 44887941, 44924957, 44941588]
chr1	CSMD2	-	[33514012, 33550789, 33586060, 33607488, 33611061, 33722843, 33748353, 33749251, 33765973, 33766237, 33772108, 33789329, 33794030, 33863462, 33864790, 33885457, 33893164, 33949214, 33961239]
chr1	OR2L13	+	[248100921]
chr1	TXNIP	-	[145992435, 145992536, 145993475, 145993604, 145995245]
chr1	DNAJB4	+	[77994333, 78004346, 78005155, 78007478, 78008113, 78017046, 78017229, 78017621, 78017853, 78017963]
chr1	MIR548N	-	[99646339, 99669822, 99694322, 99694540, 99707542]
chr1	LOC101928728	-	[26692132]
chr1	SH3D21	+	[36321229, 36321346]
chr1	FAM177B	+	[222740827, 222742662]
chr1	UTP11	+	[38012808, 38021934, 38023566, 38023721, 38024737]
chr1	IPO9-AS1	-	[201746941, 201794276, 201794378, 201810101, 201820140, 201820676, 201823261, 201825256, 201826910]
chr1	LRRN2	-	[204651052]
chr1	PRELP	+	[203487162, 203489615]
chr1	TGFBR3	-	[91680343, 91680643, 91682489, 91855944, 91866128]
chr1	PHACTR4	+	[28369810, 28373441, 28395168, 28401099, 28407440, 28412811, 28415047, 28421567, 28421755, 28422328, 28422541, 28459130, 28470941, 28481394, 28488587, 28491697, 28497463, 28497612, 28497917, 28500133, 28500241, 28500363]
chr1	CLIC4	+	[24746464, 24747767, 24760656, 24789962, 24797977, 24799352, 24800001, 24803024, 24818766, 24834487, 24840795, 24841933, 24844176, 24844320]
chr1	CDCP2	-	[54142979]
chr1	LAMC1-AS1	-	[183138402, 183139911, 183140170]
chr1	MTMR11	-	[149928651, 149930347, 149932387, 149932951, 149935555]
chr1	SSX2IP	-	[84643913, 84644088, 84646089, 84647427, 84683223]
chr1	LINC01685	+	[38476483]
chr1	LINC01686	+	[182616628]
chr1	LINC01680	-	[191221159]
chr1	02-Mar	+	[220756136, 220784239, 220784814]
chr1	LRRC38	-	[13474977]
chr1	LRRC39	-	[100150254, 100150380, 100150491, 100151051, 100159872, 100173084, 100173507]
chr1	SNORA100	-	[244854133]
chr1	YOD1	-	[207043849, 207043950, 207044994, 207047790]
chr1	MFN2	+	[11980191, 11982314, 12013420]
chr1	DLSTP1	-	[75742094]
chr1	PRG4	+	[186296654, 186305767, 186310520, 186311652, 186312496, 186313198, 186313822, 186313959, 186314269, 186314555]
chr1	LOC101928034	+	[153547329]
chr1	MAD2L2	-	[11674480]
chr1	AURKAPS1	-	[220266214]
chr1	PRDX6	+	[173480764, 173480902, 173484036, 173486297, 173487761, 173487940, 173488496, 173488659, 173488806]
chr1	LINC00869	+	[149616710, 149636950, 149647620]
chr1	PRDX1	-	[45511047, 45511347, 45513381, 45514507]
chr1	NFYC	+	[40702075, 40705106, 40706284, 40706515, 40722211, 40730471, 40759366, 40759646, 40759772, 40771007, 40771108, 40771503]
chr1	TSNAX-DISC1	+	[231537647, 231565650, 231566212, 231566409, 231566523, 231570695, 231591292, 231658283, 231667751, 231673402, 231675875, 231687512, 231701397, 231702158, 231706438, 231717023, 231724073, 231767285, 231809942, 231812414, 231866711, 231915890, 231986318, 232004549, 232009653, 232026422, 232041003, 232041126, 232041271]
chr1	CLCNKA	+	[16034049]
chr1	CASP9	-	[15492270]
chr1	CCDC163	-	[45493866]
chr1	LOC100996251	-	[113013811, 113047054, 113064728, 113066204]
chr1	PHLDA3	-	[201464383, 201465494]
chr1	SNAPIN	+	[153661724, 153661829]
chr1	ST3GAL3	+	[43761443, 43767745, 43808395, 43828778, 43829123, 43835088, 43835642, 43842735, 43849631, 43850468, 43850644, 43861964, 43862684, 43879368, 43901468, 43912030, 43914638, 43916751, 43916921, 43917099, 43931075]
chr1	FCGR2B	+	[161678054, 161678653]
chr1	CROCC	+	[16922639, 16931996, 16932649, 16941433, 16944833, 16947421, 16955789, 16955948, 16956652, 16961619, 16966992, 16972790, 16972918]
chr1	FCGR2A	+	[161518557, 161519567]
chr1	NBPF15	-	[144421390, 144421495, 144440741, 144440895, 144442531, 144445595, 144445941, 144446073, 144449508]
chr1	NBPF14	-	[148531555, 148531776, 148557522, 148558070, 148568144, 148571697, 148572042, 148575141, 148576748, 148576891]
chr1	NBPF12	+	[146940504, 146941707, 146954303, 146957765, 146959411, 146995998]
chr1	NBPF11	-	[148102151, 148102263, 148127717, 148127875, 148129399, 148132843, 148145280, 148149723]
chr1	NBPF10	-	[146080169, 146139345]
chr1	NBPF19	+	[149555996, 149556146]
chr1	PBX1	+	[164560004, 164560449, 164594983, 164596685, 164625744, 164627311, 164656733, 164680792, 164816132, 164819035, 164819215, 164819454, 164820990, 164829951, 164848521, 164849777, 164849989, 164850208, 164850356, 164851715, 164851829]
chr1	LYPLAL1	+	[219190532, 219211610, 219211748, 219212864]
chr1	DPH2	+	[43973110, 43973242, 43973368]
chr1	DPH5	-	[100989676, 100990063, 101001549, 101011988, 101013649]
chr1	SLC16A1	-	[112911847, 112912231, 112912354, 112912536, 112913161, 112914094, 112917210, 112929069, 112941344, 112953246, 112953716]
chr1	SMG7-AS1	-	[183470020]
chr1	NSUN4	+	[46346096, 46362122, 46364075, 46364950, 46365151]
chr1	DCAF6	+	[167993370, 167993967, 167999142, 168000673, 168014417, 168024129, 168024662, 168024880, 168025172, 168025356, 168029897, 168031069, 168032863, 168044620, 168044954, 168045186, 168048965, 168050223, 168055475, 168055927, 168063535, 168073089, 168075376, 168075660, 168075833]
chr1	PTCH2	-	[44819844, 44821933]
chr1	PTGS2	-	[186671833]
chr1	SZT2-AS1	-	[43447776]
chr1	LOC101927765	-	[234372807, 234372990]
chr1	POLR3C	+	[145830699, 145831451, 145835058, 145837245, 145842412]
chr1	UQCRH	+	[46303749, 46309605, 46310233, 46314264, 46314602, 46316701]
chr1	PDC	-	[186443566]
chr1	CACNA1E	+	[181801579]
chr1	NDC1	-	[53765460, 53765572, 53765735, 53765910, 53767801, 53793673]
chr1	DLGAP3	-	[34865436]
chr1	BRDT	+	[91972435, 91983580, 91984725, 91984911, 91990966, 91991142, 92014420]
chr1	WDR63	+	[85109716, 85110226, 85110768, 85111782, 85111917, 85112689, 85113106, 85131850, 85133136]
chr1	CACNA1S	-	[201039512, 201043072, 201103972, 201104200, 201104663]
chr1	TUT4	-	[52423275, 52423403, 52438284, 52440547, 52445820, 52462279, 52474729, 52475435, 52485881, 52486388, 52497841, 52502687, 52503665, 52504663, 52506584, 52514778, 52535388, 52535818, 52544963, 52550596, 52552516, 52552740]
chr1	C1orf220	+	[178546270, 178548601]
chr1	BMP8A	+	[39492057, 39494545, 39500214, 39508655, 39516574, 39522280]
chr1	BMP8B	-	[39757182, 39763819, 39769523]
chr1	C1orf226	+	[162386812]
chr1	HMGCL	-	[23801885, 23802005, 23808811, 23813299, 23825368]
chr1	PRMT6	+	[107058909, 107059072, 107059207]
chr1	CLCN6	+	[11810683, 11821017, 11823393, 11839049, 11843013, 11843143]
chr1	PER3	+	[7788569, 7803957, 7843083, 7845176]
chr1	BGLAP	+	[156243316]
chr1	GNPAT	+	[231260660, 231268830, 231277723, 231277972]
chr1	RNA5S15	-	[228612404, 228614641, 228616894, 228619137, 228621356, 228623559, 228625798, 228628035, 228630301, 228632521, 228634782, 228636986, 228639250, 228644753, 228644899, 228645950]
chr1	MYCBP	-	[38862964, 38863585, 38864607, 38870429]
chr1	PTPN14	-	[214348696, 214348818, 214349048, 214349553, 214350611, 214354766, 214356049, 214377995, 214447674, 214459210, 214460874, 214482264, 214499514, 214510390, 214522120, 214523953, 214529400, 214551368]
chr1	LINC00339	+	[22031168]
chr1	MIR3675	+	[16555289, 16562427, 16562711, 16573407, 16576500, 16577203, 16595780, 16596183, 16599599, 16605406, 16606118, 16618333, 16620916, 16629285, 16629435, 16650305, 16683366, 16684429, 16684732, 16685109, 16685237, 16685430, 16685946, 16693777, 16705593, 16721380, 16721949, 16722778, 16724472, 16754910, 16757043, 16757203, 16768034, 16786409, 16791118, 16794796, 16823769]
chr1	RNA5S16	-	[228612404, 228614641, 228616894, 228619137, 228621356, 228623559, 228625798, 228628035, 228630301, 228632521, 228634782, 228636986, 228639250, 228644753, 228644899, 228645950]
chr1	TMEM125	+	[43272749, 43272894, 43274001]
chr1	SLC22A15	+	[116070053]
chr1	MRPL20	-	[1401909, 1402045]
chr1	PNRC2	+	[23961467, 23962608, 23963113, 23963268]
chr1	HSPG2	-	[21822245, 21835409, 21872859, 21904821, 21929659, 21929796, 21936986]
chr1	HIPK1-AS1	-	[113924001]
chr1	S100A10	-	[151982915, 151983550, 151985158, 151986114, 151987691]
chr1	SEC16B	-	[177928788, 177945332]
chr1	TDRD10	+	[154521129, 154522574, 154525595, 154531810, 154548146]
chr1	ACADM	+	[75733587, 75739993, 75742094, 75763091, 75763417]
chr1	SUCO	+	[172538163, 172551560, 172554636, 172569035, 172580883, 172608113, 172611580, 172611742]
chr1	SRSF4	-	[29147743, 29147872, 29148007, 29154838, 29167477, 29168075, 29168260, 29172384, 29173221, 29177343, 29177989, 29178416]
chr1	THEM4	-	[151873584, 151874055, 151874174, 151880019, 151894830]
chr1	CHD1L	+	[147173400, 147179059, 147179242, 147179883, 147180039, 147186261, 147203294, 147209940, 147221396, 147258885, 147262103, 147263360, 147269572, 147285366, 147291552, 147293616, 147295671]
chr1	C4BPA	+	[207127010, 207144971]
chr1	PPM1J	-	[112709996]
chr1	S100A14	-	[153614255]
chr1	TMEM79	+	[156290091, 156290394, 156290722, 156292442]
chr1	PRKAB2	-	[147155181, 147155399, 147156002, 147159441]
chr1	SIKE1	-	[114769569, 114769856, 114771830, 114772775, 114774189, 114779172]
chr1	CDK11A	-	[1702802, 1703311, 1703682, 1708830, 1709580, 1716796, 1717317, 1717421, 1718237, 1721634, 1724260]
chr1	LOC105376736	+	[11102099]
chr1	PAX7	+	[18736137, 18748865]
chr1	LINC00622	-	[119597702]
chr1	LRRC8C-DT	-	[89624850, 89631876]
chr1	KPRP	+	[152762052]
chr1	PTPN7	-	[202147013]
chr1	MRPL9	-	[151759643, 151759910, 151762436]
chr1	DRD5P2	-	[144300589, 144336228, 144421390, 144421495, 144440741, 144440895, 144442531, 144445595, 144445941, 144446073, 144449508, 144459601, 144460129, 144480804, 144523819, 144534696, 144595188, 144609343, 144609584, 144612737, 144614389, 144616082]
chr1	PROK1	+	[110457353]
chr1	DDR2	+	[162739870, 162750902, 162752803, 162753977, 162756213, 162768708, 162770673, 162780338, 162780464, 162780779, 162780892, 162781093, 162782259, 162782365, 162783005, 162783200, 162783359, 162783850, 162784173, 162784643, 162786412, 162786572]
chr1	ATP5PB	+	[111452067, 111452281, 111461137, 111461250, 111461525]
chr1	TPRG1L	+	[3630126]
